uid,question,true_type,true_request,pred_type,pred_request,schema,llm,source
8902acc4,Выведи лот и шаг цены для VTBR@MISX.,GET,/v1/assets/VTBR@MISX,GET,/v1/assets/VTBR@MISX/params,AssetInfoRequest,GET /v1/assets/VTBR@MISX/params,llm
f4c6be34,Каков шаг цены для акций 'РусГидро'?,GET,/v1/assets/HYDR@MISX,GET,/v1/assets/HYDR@MISX/params,AssetInfoRequest,GET /v1/assets/HYDR@MISX/params,llm
9934e92d,Найди все сделки на продажу LKOH@MISX за последний квартал,GET,/v1/accounts/USR-305-C/trades?interval.start_time=2025-07-01T00:00:00Z&interval.end_time=2025-09-30T23:59:59Z,GET,/v1/accounts/{account_id}/trades?interval.start_time=2025-07-01T00:00:00Z&interval.end_time=2025-09-30T23:59:59Z,TradesRequest,GET /v1/accounts/{account_id}/trades?interval.start_time=2025-07-01T00:00:00Z&interval.end_time=2025-09-30T23:59:59Z,llm
22bd4137,Можно ли еще отменить приказ на биржу ORD121212?,GET,/v1/accounts/{account_id}/orders/ORD121212,DELETE,/v1/accounts/{account_id}/orders/ORD121212,OrderGetRequest,DELETE /v1/accounts/{account_id}/orders/ORD121212,llm
60406b8d,Выгрузить все транзакции за последнюю неделю,GET,/v1/accounts/FIN-203-B/transactions?interval.start_time=2025-09-22T00:00:00Z&interval.end_time=2025-09-28T23:59:59Z,GET,/v1/accounts/{account_id}/transactions?interval.start_time=2025-09-22T00:00:00Z&interval.end_time=2025-09-28T23:59:59Z,TransactionsRequest,GET /v1/accounts/{account_id}/transactions?interval.start_time=2025-09-22T00:00:00Z&interval.end_time=2025-09-28T23:59:59Z,llm
a268a8af,Какое гарантийное обеспечение для фьючерса SiZ5@RTSX на счете ACC-001-A?,GET,/v1/accounts/ACC-001-A,GET,/v1/assets/SiZ5@RTSX/params?account_id=ACC-001-A,AccountRequest,GET /v1/assets/SiZ5@RTSX/params?account_id=ACC-001-A,llm
eb33c329,Отобрази все мои длинные позиции,GET,/v1/accounts/FIN-203-B,GET,/v1/accounts/{account_id},AccountRequest,GET /v1/accounts/{account_id},llm
1351b934,"Покажи все доходные транзакции, например, дивиденды, за последний квартал",GET,/v1/accounts/ACC-001-A/transactions?interval.start_time=2025-07-01T00:00:00Z&interval.end_time=2025-09-30T23:59:59Z,GET,/v1/accounts/{account_id}/transactions?interval.start_time=2025-07-01T00:00:00Z&interval.end_time=2025-09-30T23:59:59Z,TransactionsRequest,GET /v1/accounts/{account_id}/transactions?interval.start_time=2025-07-01T00:00:00Z&interval.end_time=2025-09-30T23:59:59Z,llm
9084d4a2,Были ли сделки с фьючерсом на доллар вчера?,GET,/v1/accounts/ACC-001-A/trades?interval.start_time=2025-09-28T00:00:00Z&interval.end_time=2025-09-28T23:59:59Z,GET,/v1/accounts/{account_id}/trades?interval.start_time=2025-09-28T00:00:00Z&interval.end_time=2025-09-28T23:59:59Z,TradesRequest,GET /v1/accounts/{account_id}/trades?interval.start_time=2025-09-28T00:00:00Z&interval.end_time=2025-09-28T23:59:59Z,llm
5740b777,Найди транзакцию пополнения счета на прошлой неделе,GET,/v1/accounts/USR-305-C/transactions?interval.start_time=2025-09-22T00:00:00Z&interval.end_time=2025-09-28T23:59:59Z,GET,/v1/accounts/{account_id}/transactions?interval.start_time=2025-09-22T00:00:00Z&interval.end_time=2025-09-28T23:59:59Z,TransactionsRequest,GET /v1/accounts/{account_id}/transactions?interval.start_time=2025-09-22T00:00:00Z&interval.end_time=2025-09-28T23:59:59Z,llm
9a1d5b47,Покажи месячные свечи по Yandex за всё время.,GET,/v1/instruments/YNDX@MISX/bars?timeframe=TIME_FRAME_MN&interval.start_time=2014-01-01T00:00:00Z&interval.end_time=2025-09-29T23:59:59Z,GET,/v1/instruments/YNDX@MISX/bars?timeframe=TIME_FRAME_MN&interval.start_time=2014-01-01T00:00:00Z&interval.end_time=2023-10-31T23:59:59Z,BarsRequest,GET /v1/instruments/YNDX@MISX/bars?timeframe=TIME_FRAME_MN&interval.start_time=2014-01-01T00:00:00Z&interval.end_time=2023-10-31T23:59:59Z,llm
2c1d52eb,Какой была цена открытия Газпрома в этом месяце?,GET,/v1/instruments/GAZP@MISX/bars?timeframe=TIME_FRAME_D&interval.start_time=2025-09-01T00:00:00Z&interval.end_time=2025-09-01T23:59:59Z,GET,/v1/instruments/GAZP@MISX/quotes/latest,BarsRequest,GET /v1/instruments/GAZP@MISX/quotes/latest,llm
0e584205,"Хочу купить 100 VTBR@MISX по стоп-лимиту: стоп-цена 0.02400, лимитная цена 0.02410",POST,/v1/accounts/{account_id}/orders,POST,/v1/accounts/100/orders,OrdersListRequest,POST /v1/accounts/{account_id}/orders,llm
7a0cc651,"Купи 1000 акций AFLT@MISX по 41.20, заявка должна действовать только сегодня",POST,/v1/accounts/{account_id}/orders,POST,/v1/accounts/1000/orders,OrdersListRequest,POST /v1/accounts/{account_id}/orders,llm
90b4e75a,Создай стоп-лосс для 50 акций GAZP@MISX на уровне 165.00,POST,/v1/accounts/{account_id}/orders,POST,/v1/accounts/165/orders,OrdersListRequest,POST /v1/accounts/{account_id}/orders,llm
c9064965,"Выстави стоп-лимит: если цена ROSN@MISX достигнет 570.00, продай 10 штук по цене не ниже 569.50",POST,/v1/accounts/{account_id}/orders,POST,/v1/accounts/570/orders,OrdersListRequest,POST /v1/accounts/{account_id}/orders,llm
f45b8f69,Продать 500 акций TRNFP@MISX по лимитной цене 1600.00,POST,/v1/accounts/{account_id}/orders,POST,/v1/accounts/500/orders,OrdersListRequest,POST /v1/accounts/{account_id}/orders,llm
